STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/1/2004,2004,1,1,28,31,25
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/2/2004,2004,1,2,22.5,28,17
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/3/2004,2004,1,3,14.5,22,7
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/4/2004,2004,1,4,10,15,5
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/5/2004,2004,1,5,12.5,17,8
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/6/2004,2004,1,6,25.5,36,15
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/7/2004,2004,1,7,29.5,34,25
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/8/2004,2004,1,8,34.5,41,28
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/9/2004,2004,1,9,42.5,51,34
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/10/2004,2004,1,10,43.5,49,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/11/2004,2004,1,11,42,48,36
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/12/2004,2004,1,12,39.5,45,34
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/13/2004,2004,1,13,38,43,33
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/14/2004,2004,1,14,41.5,49,34
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/15/2004,2004,1,15,34,42,26
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,1/16/2004,2004,1,16,23.5,28,19
